"X","Y"
1668007.07156546,7176658.29788512
1678007.07156546,7176658.29788512
1688007.07156546,7176658.29788512
1698007.07156546,7176658.29788512
1708007.07156546,7176658.29788512
1718007.07156546,7176658.29788512
1728007.07156546,7176658.29788512
1738007.07156546,7176658.29788512
1748007.07156546,7176658.29788512
1758007.07156546,7176658.29788512
1768007.07156546,7176658.29788512
1778007.07156546,7176658.29788512
1788007.07156546,7176658.29788512
1798007.07156546,7176658.29788512
1808007.07156546,7176658.29788512
1818007.07156546,7176658.29788512
1828007.07156546,7176658.29788512
1838007.07156546,7176658.29788512
1848007.07156546,7176658.29788512
1858007.07156546,7176658.29788512
1868007.07156546,7176658.29788512
1878007.07156546,7176658.29788512
1888007.07156546,7176658.29788512
1897481.20703815,7177621.54451403
1906048.38010923,7179865.6559548
1449840.30681708,7187298.13514344
1458007.07156546,7186658.29788512
1468007.07156546,7186658.29788512
1478007.07156546,7186658.29788512
1488007.07156546,7186658.29788512
1498007.07156546,7186658.29788512
1508007.07156546,7186658.29788512
1518007.07156546,7186658.29788512
1528007.07156546,7186658.29788512
1538007.07156546,7186658.29788512
1548007.07156546,7186658.29788512
1558007.07156546,7186658.29788512
1568007.07156546,7186658.29788512
1578007.07156546,7186658.29788512
1588007.07156546,7186658.29788512
1598007.07156546,7186658.29788512
1608007.07156546,7186658.29788512
1618007.07156546,7186658.29788512
1628007.07156546,7186658.29788512
1638007.07156546,7186658.29788512
1648007.07156546,7186658.29788512
1658007.07156546,7186658.29788512
1668007.07156546,7186658.29788512
1678007.07156546,7186658.29788512
1688007.07156546,7186658.29788512
1698007.07156546,7186658.29788512
1708007.07156546,7186658.29788512
1718007.07156546,7186658.29788512
1728007.07156546,7186658.29788512
1738007.07156546,7186658.29788512
1748007.07156546,7186658.29788512
1758007.07156546,7186658.29788512
1768007.07156546,7186658.29788512
1778007.07156546,7186658.29788512
1788007.07156546,7186658.29788512
1798007.07156546,7186658.29788512
1808007.07156546,7186658.29788512
1818007.07156546,7186658.29788512
1828007.07156546,7186658.29788512
1838007.07156546,7186658.29788512
1848007.07156546,7186658.29788512
1858007.07156546,7186658.29788512
1868007.07156546,7186658.29788512
1878007.07156546,7186658.29788512
1888007.07156546,7186658.29788512
1898007.07156546,7186658.29788512
1907991.72967295,7186674.04538229
1917082.42021429,7188337.55615077
1924410.80726208,7190850.81914767
1441035.44968679,7199147.09350489
1448070.62701332,7196718.69725962
1458007.07156546,7196658.29788512
1468007.07156546,7196658.29788512
1478007.07156546,7196658.29788512
1488007.07156546,7196658.29788512
1498007.07156546,7196658.29788512
1508007.07156546,7196658.29788512
1518007.07156546,7196658.29788512
